rec_id,state,county,site_name,devel,latitude,longitude,oremin,assocmin,hostrock,source
48,WA,Stevens,Laurier,occurrence,48.989,-118.172,"white asbestos","serpentine, enstatite, olivine, magnetite, dolomite, talc",serpentinite,ofr20101041
49,WA,Whatcom,"Twin Sisters",occurrence,48.65,-121.972,"cross-fiber serpentine asbestos","not reported","not reported",ofr20101041
50,WA,Whatcom,"Bowman Mountain",occurrence,48.756,-122.062,chrysotile,"not reported",serpentinite,ofr20101041
51,WA,Whatcom,"Sumas Mountain landslide",occurrence,48.9108,-122.2498,chrysotile,"serpentine, chlorite, illite, hydrotalcite",serpentinite,ofr20101041
52,CA,Alameda,"John D. Hoff mine","past producer",37.804,-122.14,"short-fiber asbestos",serpentine,serpentinite,ofr20111188
53,CA,Amador,"George Thomas prospect","past prospect",38.332,-120.754,"amphibole asbestos","not reported","not reported",ofr20111188
54,CA,Amador,"Mace Ranch prospect","past prospect",38.3647,-120.8926,"amphibole asbestos",serpentine,serpentinite,ofr20111188
55,CA,Butte,"unnamed occurrence",occurrence,39.5,-121.38,asbestos,"not reported",serpentinite,ofr20111188
56,CA,Butte,"unnamed occurrence",occurrence,39.63,-121.51,asbestos,"not reported",serpentinite,ofr20111188
57,CA,Butte,"unnamed occurrence",occurrence,39.69,-121.57,asbestos,"not reported",serpentinite,ofr20111188
58,CA,Butte,"unnamed occurrence",occurrence,39.69,-121.35,asbestos,"not reported",serpentinite,ofr20111188
59,CA,Butte,"unnamed occurrence",occurrence,39.7,-121.4,asbestos,"not reported",serpentinite,ofr20111188
60,CA,Butte,"John Quirk mine","past producer",39.84,-121.59,"tremolite asbestos",serpentine,serpentinite,ofr20111188
61,CA,Calaveras,"Jefferson Lake mine (American, Calaveras, California, Copperopolis, Pacific, Voorhees)","past producer",37.9378,-120.546,chrysotile,serpentine,"serpentinized dunite and peridotite",ofr20111188
62,CA,Calaveras,"Liberty (McFall) chromite mine",occurrence,37.956,-120.554,asbestos,"chromite, serpentine",serpentinite,ofr20111188
63,CA,Calaveras,"Turner and Lloyd deposit (Skipper claims?)","past prospect",38.0258,-120.6386,chrysotile,serpentine,serpentinite,ofr20111188
64,CA,Calaveras,"unnamed prospect","past prospect",38.1378,-120.5019,"amphibole asbestos","not reported","ultramafic rock",ofr20111188
65,CA,Calaveras,"Nuland and Nuner prospects","past prospect",38.21,-120.68,asbestos,serpentine,serpentinite,ofr20111188
66,CA,Calaveras,"unnamed occurrence",occurrence,38.23,-120.504,chrysotile,serpentine,serpentinite,ofr20111188
67,CA,Calaveras,"Neugebauer chromite mine",occurrence,38.241,-120.801,chrysotile,"serpentine, enstatite, opal, chromite, kammererite",serpentinite,ofr20111188
68,CA,Calaveras,"Garnet Hill occurrence",occurrence,38.4796,-120.2517,crocidolite,garnet,"not reported",ofr20111188
69,CA,Colusa,"Spring east of Alice mine",occurrence,39.083,-122.443,chrysotile,lizardite,serpentinite,ofr20111188
70,CA,Colusa,"Deadshot Spring",occurrence,39.0864,-122.4608,chrysotile,lizardite,serpentinite,ofr20111188
71,CA,Colusa,"Fouts Red Eye Spring",occurrence,39.3509,-122.6704,chrysotile,lizardite,serpentinite,ofr20111188
72,CA,"Contra Costa","Prospect in Sycamore Canyon","past prospect",37.8818,-121.8851,chrysotile,serpentine,serpentinite,ofr20111188
73,CA,"Contra Costa","Prospect in Perkins Canyon","past prospect",37.8878,-121.8778,chrysotile,serpentine,serpentinite,ofr20111188
74,CA,"Contra Costa","Prospects near Arroyo del Cerro","past prospect",37.8899,-121.9717,chrysotile,serpentine,serpentinite,ofr20111188
75,CA,"Contra Costa","Prospects east of Russellman Park","past prospect",37.9112,-121.8991,chrysotile,serpentine,serpentinite,ofr20111188
76,CA,"Contra Costa","Berkeley Hills serpentine",occurrence,37.934,-122.314,"anthophyllite asbestos, tremolite asbestos","serpentine, hornblende, glaucophane, chlorite, talc, diallage, garnet, actinolite, titanite, albite",serpentinite,ofr20111188
77,CA,"Del Norte","occurrences in the Rock Creek Butte area",occurrence,41.531,-123.657,chrysotile,"antigorite, olivine, pyroxene",serpentinite,ofr20111188
78,CA,"El Dorado","roadcut near El Dorado Hills",occurrence,38.5956,-121.0016,"asbestiform tremolite and actinolite","not reported","ultramafic rock, serpentinite",ofr20111188
79,CA,"El Dorado","Oak Ridge occurrence",occurrence,38.6785,-121.0733,"chrysotile, asbestiform amphibole","serpentine, vermiculite, amphibole, albite, clinochlore, quartz, epidote, talc, iron oxides, chromite",serpentinite,ofr20111188
80,CA,"El Dorado","Woedee Drive occurrence",occurrence,38.6802,-121.0749,"chrysotile, asbestiform tremolite","amphibole, serpentine, talc, iron oxides, chlorite, titanite",serpentinite,ofr20111188
81,CA,"El Dorado","Harvard Way occurrence",occurrence,38.6827,-121.0737,"chrysotile, asbestiform tremolite","vermiculite, amphibole, augite, clinochlore, talc",serpentinite,ofr20111188
82,CA,"El Dorado","New York Creek trail",occurrence,38.6951,-121.0769,chrysotile,"quartz, albite, vermiculite, epidote, fibrous tremolite, amphibole, clinochlore",serpentinite,ofr20111188
83,CA,"El Dorado","Fairchild Park occurrence",occurrence,38.7027,-121.076,"chrysotile, asbestiform tremolite","antigorite, talc, amphibole, albite, vermiculite, quartz, chlorite, iron oxides",serpentinite,ofr20111188
84,CA,"El Dorado","El Dorado Copper Co. property (Contraband copper mine)","past producer",38.875,-120.811,asbestos,"native copper, copper sulfides",schist,ofr20111188
85,CA,"El Dorado","French Hill claim","past prospect",38.9376,-120.9217,asbestos,"quartz, gold","not reported",ofr20111188
86,CA,Fresno,"Arroyo Pasajero alluvial fan",occurrence,36.208,-120.083,chrysotile,"antigorite, magnesite, brucite, talc","alluvial deposit with serpentinite cobbles",ofr20111188
87,CA,Fresno,"Ross-Garcia claims","past prospect",36.264,-120.575,"short-fiber asbestos","not reported","not reported",ofr20111188
88,CA,Fresno,"Butler Estate chromite mine",occurrence,36.312,-120.5468,chrysotile,"antigorite, chromite, magnesite, talc, hydromagnesite, hydrous iron oxides",serpentinite,ofr20111188
89,CA,Fresno,"Coalinga (Johns-Manville) mine","past producer",36.3181,-120.539,chrysotile,"serpentine, hydromagnesite, chromite, crystalline carbonate, magnetite, uvarovite","serpentinized peridotite",ofr20111188
90,CA,Fresno,"Atlas Asbestos Co. (Hidden Splendor, Todd) mine","past producer",36.3237,-120.5888,chrysotile,"serpentine, hydromagnesite, chromite, crystalline carbonate, magnetite, uvarovite","serpentinized peridotite",ofr20111188
91,CA,Fresno,"Asbestos Corporation prospects","past prospect",36.3731,-120.4141,chrysotile,serpentine,"shale, conglomerate (fluvially re-deposited pieces of serpentine in Big Blue Member of the Temblor Formation)",ofr20111188
92,CA,Fresno,"H.H. Miner claims",occurrence,36.71,-119.47,"amphibole asbestos","not reported","not reported",ofr20111188
93,CA,Fresno,Occurrence,occurrence,36.345,-120.565,chrysotile,"not reported",serpentinite,ofr20111188
94,CA,Fresno,Occurrence,occurrence,36.356,-120.593,chrysotile,"not reported",serpentinite,ofr20111188
95,CA,Fresno,Occurrence,occurrence,36.35,-120.58,chrysotile,"not reported",serpentinite,ofr20111188
96,CA,Fresno,Occurrence,occurrence,36.331,-120.545,chrysotile,"not reported",serpentinite,ofr20111188
97,CA,Fresno,Occurrence,occurrence,36.33,-120.56,chrysotile,"not reported",serpentinite,ofr20111188
98,CA,Fresno,Occurrence,occurrence,36.35,-120.59,chrysotile,"not reported",serpentinite,ofr20111188
99,CA,Fresno,Occurrence,occurrence,36.33,-120.58,chrysotile,"not reported",serpentinite,ofr20111188
100,CA,Fresno,Occurrence,occurrence,36.33,-120.59,chrysotile,"not reported",serpentinite,ofr20111188
101,CA,Fresno,Occurrence,occurrence,36.32,-120.58,chrysotile,"not reported",serpentinite,ofr20111188
102,CA,Fresno,Occurrence,occurrence,36.32,-120.56,chrysotile,"not reported",serpentinite,ofr20111188
103,CA,Fresno,Occurrence,occurrence,36.32,-120.55,chrysotile,"not reported",serpentinite,ofr20111188
104,CA,Fresno,Occurrence,occurrence,36.3,-120.56,chrysotile,"not reported",serpentinite,ofr20111188
105,CA,Fresno,Occurrence,occurrence,36.3,-120.58,chrysotile,"not reported",serpentinite,ofr20111188
106,CA,Fresno,Occurrence,occurrence,36.3,-120.59,chrysotile,"not reported",serpentinite,ofr20111188
107,CA,Fresno,Occurrence,occurrence,36.31,-120.61,chrysotile,"not reported",serpentinite,ofr20111188
108,CA,Fresno,Occurrence,occurrence,36.31,-120.55,chrysotile,"not reported",serpentinite,ofr20111188
109,CA,Fresno,Occurrence,occurrence,36.36,-120.42,chrysotile,"not reported","fluvially re-deposited pieces of serpentine in Big Blue Member of the Temblor Formation",ofr20111188
110,CA,Fresno,Occurrence,occurrence,36.38,-120.42,chrysotile,"not reported","fluvially re-deposited pieces of serpentine in Big Blue Member of the Temblor Formation",ofr20111188
111,CA,Fresno,Occurrence,occurrence,36.39,-120.44,chrysotile,serpentine,"fluvially re-deposited pieces of serpentine in Big Blue Member of the Temblor Formation",ofr20111188
112,CA,Fresno,Occurrence,occurrence,36.36,-120.4,chrysotile,"not reported","fluvially re-deposited pieces of serpentine in Big Blue Member of the Temblor Formation",ofr20111188
113,CA,Glenn,"Salt Spring, Salt Valley",occurrence,39.4302,-122.5362,chrysotile,"lizardite, quartz, albite, chlorite, xonotlite, hydrogrossular, calcite",serpentinite,ofr20111188
114,CA,Glenn,"Sulfur Spring, Salt Valley",occurrence,39.4337,-122.5392,chrysotile,"lizardite, quartz, albite, chlorite, xonotlite, hydrogrossular, calcite",serpentinite,ofr20111188
115,CA,Imperial,"Coyote Mountains nickel (Copper Contact Lode) prospect",occurrence,32.7976,-116.0187,chrysotile,"enstatite, olivine, chlorite, antigorite, gypsum, epsomite",pyroxenite,ofr20111188
116,CA,Inyo,"Darwin mines",occurrence,36.2793,-117.5925,chrysotile,"numerous minerals reported--see Hall and MacKevett (1962, p. 77-78)",marble,ofr20111188
117,CA,Inyo,"McIlroy property","past producer",36.5365,-117.9161,"tremolite asbestos","not reported",dolomite,ofr20111188
118,CA,Inyo,"Indian Camp (Goldbelt Springs) prospect","past prospect",36.615,-117.523,chrysotile,serpentine,"serpentinized dolomite",ofr20111188
119,CA,Inyo,"Huntley Industrial Minerals, Inc. mine and Whitetop Mountain deposits","past producer",36.7873,-117.4153,"tremolite asbestos, chrysotile","magnesian silicate minerals, calcite, dolomite, serpentine(?), talc","carbonate rock",ofr20111188
120,CA,Kern,"San Emigdio asbestos deposit","past prospect",34.82,-119.15,"amphibole asbestos",serpentine,serpentinite,ofr20111188
121,CA,Kern,"Sunshine claims (Jawbone Canyon)","past prospect",35.34,-118.15,chrysotile,serpentine,serpentinite,ofr20111188
122,CA,Kings,"unnamed prospect","past prospect",35.882,-120.246,chrysotile,serpentine,serpentinite,ofr20111188
123,CA,Kings,"unnamed prospect","past prospect",35.899,-120.265,chrysotile,serpentine,serpentinite,ofr20111188
124,CA,Kings,"unnamed prospect","past prospect",35.911,-120.284,chrysotile,serpentine,serpentinite,ofr20111188
125,CA,Lake,"McKinley steam field",occurrence,38.775,-122.716,chrysotile,"lizardite, calcite, cinnabar",serpentinite,ofr20111188
126,CA,Lake,"unnamed prospect","past prospect",38.8351,-122.631,chrysotile,"not reported","not reported",ofr20111188
127,CA,Lake,"Copsey and Jones prospect","past prospect",38.8488,-122.6635,chrysotile,serpentine,serpentinite,ofr20111188
128,CA,Lake,"Marylyne prospect","past prospect",38.9256,-122.5051,chrysotile,serpentine,serpentinite,ofr20111188
129,CA,Lake,"Allen Springs",occurrence,39.1598,-122.6635,chrysotile,lizardite,serpentinite,ofr20111188
130,CA,Lake,"Complexion Spring",occurrence,39.1702,-122.5121,chrysotile,lizardite,serpentinite,ofr20111188
131,CA,Lake,"asbestos prospect","past prospect",39.1724,-122.8347,asbestos,"not reported",serpentinite,ofr20111188
132,CA,Lake,"asbestos prospect","past prospect",39.174,-122.8356,asbestos,"not reported",serpentinite,ofr20111188
133,CA,Lake,"asbestos prospect","past prospect",39.176,-122.8372,asbestos,"not reported",serpentinite,ofr20111188
134,CA,Lake,"asbestos prospect","past prospect",39.1774,-122.8381,asbestos,"not reported",serpentinite,ofr20111188
135,CA,Lake,"Bartlett Springs",occurrence,39.1797,-122.7036,chrysotile,lizardite,serpentinite,ofr20111188
136,CA,Lake,"asbestos prospect","past prospect",39.1835,-122.8431,asbestos,"not reported",serpentinite,ofr20111188
137,CA,Lake,"asbestos prospect","past prospect",39.1846,-122.8446,asbestos,"not reported",serpentinite,ofr20111188
138,CA,"Los Angeles","Occurrences on Santa Catalina Island",occurrence,33.4079,-118.4183,chrysotile,"antigorite, magnesite, opal",serpentinite,ofr20111188
139,CA,"Los Angeles","Fiber Queen asbestos mine","past producer",34.342,-118.458,"chrysotile; also described as tremolite asbestos (Oakeshott, 1958, p. 110)","chlorite, serpentine","chloritized meta-serpentine",ofr20111188
140,CA,"Los Angeles","Katz soapstone deposit",occurrence,34.5301,-118.2586,"tremolitic amphibole (rarely asbestiform)"""" (Gay and Hoffman, 1954, p. 561)","serpentine, chlorite, talc, albite, muscovite","talcose and chloritic schist (""""soapstone"""")",ofr20111188
141,CA,"Los Angeles","RR #4",occurrence,34.56,-118.27,"Nice fibrous asbestos up to 8 cm. long"""" (Sharp, 1959, p. 59)","actinolite, talc","not reported",ofr20111188
142,CA,"Los Angeles","Amargosa #1",occurrence,34.595,-118.199,"fine fibrous amphibole asbestos","spessartite garnet, psilomelane","manganese-bearing silicate rock in schist",ofr20111188
143,CA,"Los Angeles","Burro Canyon #1",occurrence,34.646,-118.625,"mountain leather asbestos","not reported",marble,ofr20111188
144,CA,Madera,"Baker gold mine","past prospect",37.31,-119.74,"amphibole asbestos",quartz,"not reported",ofr20111188
145,CA,Madera,"Savannah gold mine","past prospect",37.3197,-119.755,"amphibole asbestos","not reported","not reported",ofr20111188
146,CA,Madera,"Deep Canyon claim","past prospect",37.3208,-119.7577,"amphibole asbestos","not reported","not reported",ofr20111188
147,CA,Marin,"Angel Island",occurrence,37.86,-122.4378,chrysotile,"lizardite, antigorite",serpentinite,ofr20111188
148,CA,Marin,"Belvedere Island",occurrence,37.8656,-122.4628,chrysotile,"lizardite, antigorite",serpentinite,ofr20111188
149,CA,Marin,"unnamed occurrence",occurrence,38.077,-122.746,asbestos,"not reported","ultramafic rocks",ofr20111188
150,CA,Marin,"Massa Hill nephrite locality",occurrence,38.1769,-122.68,"chrysotile, white fibrous tremolite","serpentine; long, fibrous nephrite; white, fibrous tremolite",serpentinite,ofr20111188
151,CA,Marin,"near Fort Baker",occurrence,37.833,-122.481,crocidolite,"not reported",chert,ofr20111188
152,CA,Marin,"west peak of Mt. Tamalpais",occurrence,37.924,-122.599,chrysotile,"not reported","not reported",ofr20111188
153,CA,Mariposa,"Asbestos prospect and nearby occurrences along Highway 49","past prospect",37.6504,-120.1529,"chrysotile, tremolite asbestos",serpentine,serpentinite,ofr20111188
154,CA,Mendocino,"Leech Lake Mountain area",occurrence,39.9181,-123.0867,chrysotile,"bastite, picrite, chromite, magnetite","serpentinized peridotite",ofr20111188
155,CA,Mendocino,"jade occurrence",occurrence,39.95,-123.34,crocidolite,"jadeite, nephrite","not reported",ofr20111188
156,CA,Mono,"unnamed occurrence",occurrence,38.1745,-119.3379,chrysotile,"serpentine, magnetite, anthophyllite",serpentinite,ofr20111188
157,CA,Mono,"unnamed occurrence",occurrence,38.1817,-119.3436,chrysotile,"serpentine, magnetite, anthophyllite",serpentinite,ofr20111188
158,CA,Monterey,"Burro Mountain prospects","past prospect",35.8689,-121.2896,chrysotile,serpentine,"serpentinized ultramafic rocks",ofr20111188
159,CA,Monterey,"Willow Creek prospects","past prospect",35.894,-121.4603,chrysotile,serpentine,serpentinite,ofr20111188
160,CA,Monterey,"unnamed prospect","past prospect",35.903,-120.305,chrysotile,serpentine,serpentinite,ofr20111188
161,CA,Monterey,"Table Mountain prospects","past prospect",35.9044,-120.2848,chrysotile,serpentine,serpentinite,ofr20111188
162,CA,Monterey,"unnamed prospect","past prospect",35.905,-120.275,chrysotile,"not reported","not reported",ofr20111188
163,CA,Napa,"Tabor Mining Co. (Phoenix mine, Monticello mine, Kohler and Chase asbestos quarry, Napa asbestos quarry)","past producer",38.4774,-122.1917,chrysotile,serpentine,serpentinite,ofr20111188
164,CA,Nevada,"Rolph Ranch (chromite)","past prospect",39.12,-120.98,"chrysotile asbestos","not reported","not reported",ofr20111188
165,CA,Nevada,"Stark (Sierra) asbestos deposit","past producer",39.36,-120.814,chrysotile,serpentine,"ultrabasic intrusion",ofr20111188
166,CA,Placer,"unnamed occurrence (in Gas Canyon)",occurrence,38.98,-120.92,asbestos,"not reported","not reported",ofr20111188
167,CA,Placer,"unnamed occurrence (near Forest Hill)",occurrence,39.01,-120.8,asbestos,"not reported","not reported",ofr20111188
168,CA,Placer,"unnamed occurrence (in Lady's Canyon)",occurrence,39.03,-120.77,asbestos,"not reported","not reported",ofr20111188
169,CA,Placer,"California Morning Star mine and vicinity (Washington Consolidated mine?)","past prospect",39.1035,-120.8547,"amphibole asbestos",serpentine,serpentinite,ofr20111188
170,CA,Placer,"unnamed prospect (Burnt Flat area)","past prospect",39.105,-120.933,"amphibole asbestos",serpentine,serpentinite,ofr20111188
171,CA,Placer,"unnamed prospect (Burnt Flat area)","past prospect",39.099,-120.932,"amphibole asbestos",serpentine,serpentinite,ofr20111188
172,CA,Placer,"Iowa Hill deposits (Dewey claim, Gary mine?)","past producer",39.112,-120.853,"slip-fiber tremolite asbestos","not reported","serpentinite, amphibolite schist",ofr20111188
173,CA,Placer,"Roach Hill occurrence (Blue Wing claim?)",occurrence,39.121,-120.847,"tremolite asbestos",serpentine,serpentinite,ofr20111188
174,CA,Placer,"Morgan deposits (and Driscoll & Michelson claims, Wolf & Levy claims)","past producer",39.18,-120.792,"chrysotile, slip-fiber tremolite asbestos",serpentine,serpentinite,ofr20111188
175,CA,Placer,"Dan Sullivan prospect","past prospect",39.23,-120.8,chrysotile,serpentine,serpentinite,ofr20111188
176,CA,Placer,"Monumental Hill",occurrence,39.29,-120.59,chrysotile,"olivine, clinopyroxene, serpentine minerals, magnetite, chromite",dunite,ofr20111188
177,CA,Plumas,"Spring Garden Tunnel",occurrence,39.88,-120.779,"amphibole asbestos","not reported","sheared """"greenstone",ofr20111188
178,CA,Plumas,"Asbestos Nos. 1, 2, and 3 claims","past prospect",39.99,-121.14,"amphibole asbestos","not reported","not reported",ofr20111188
179,CA,Plumas,"Garnet Ridge prospect","past prospect",39.99,-121.367,"anthophyllite asbestos","antigorite, talc, chlorite",peridotite,ofr20111188
180,CA,Riverside,"unnamed occurrence near Toro Peak",occurrence,33.524,-116.399,"amphibole asbestos","not reported","not reported",ofr20111188
181,CA,Riverside,"Serpentine Hill prospects","past prospect",33.605,-116.433,"amphibole asbestos","not reported","not reported",ofr20111188
182,CA,Riverside,"Dunn asbestos deposit","past prospect",33.6101,-116.4824,"slip-fiber amphibole asbestos",serpentine,serpentinite,ofr20111188
183,CA,Riverside,"Percival (Charleboix) asbestos deposit (Katherine C. mining claims)","past producer",33.6132,-116.4811,"slip-fiber amphibole asbestos","not reported","olivine-hornblende rock (cortlandite)",ofr20111188
184,CA,Riverside,"Perris asbestos deposit","past producer",33.76,-117.261,"amphibole asbestos","not reported",granite,ofr20111188
185,CA,Riverside,"Crestmore quarry",occurrence,34.0235,-117.3846,"tremolite(?) asbestus [sic]","actinolite, quartz, calcite, epidote","quartz diorite",ofr20111188
186,CA,Riverside,"Hemet magnesite mine",occurrence,33.697,-117.026,chrysotile,"magnesite, magnetite, chlorite, actinolite, talc, olivine",metaperidotite,ofr20111188
187,CA,Riverside,"unnamed occurrence",occurrence,33.58,-116.53,"asbestiform tremolite","actinolite, biotite, chlorite","biotite-rich, metamorphosed mafic rocks",ofr20111188
188,CA,"San Benito","Simas Asbestos property","past producer(?)",36.335,-120.7162,chrysotile,serpentine,serpentinite,ofr20111188
189,CA,"San Benito","Santa Rita quarry (Union Carbide Corporation, KCAC mine)","past producer",36.339,-120.6141,chrysotile,"antigorite, brucite, lizardite, magnetite",serpentinite,ofr20111188
190,CA,"San Benito","San Benito Asbestos Company claims","past producer",36.3702,-120.7566,chrysotile,serpentine,serpentinite,ofr20111188
191,CA,"San Benito","Occurrences in canyon of Clear Creek",occurrence,36.382,-120.716,clinochrysotile,"antigorite, jadeite, garnet",serpentinite,ofr20111188
192,CA,"San Benito","Victor claim",occurrence,36.358,-120.742,chrysotile,"numerous minerals reported--see Cooper and others (2003)","not reported",ofr20111188
193,CA,"San Benito","The Gem mine (Benitoite mine, Benitoite Gem mine, Dallas Benitoite mine, Dallas Gem mine)",occurrence,36.336,-120.605,"actinolite asbestos","numerous minerals reported--see Wise and Gill (1977)","glaucophane schist (blueschist)",ofr20111188
194,CA,"San Bernardino","Golconda (Conda, Fleetfoot, Hicks) asbestos deposit (Fire-Proof?, Scorpion?)","past producer",34.8231,-117.2533,"asbestiform tremolitic amphibole","serpentine, sulfides, iron oxides",serpentinite,ofr20111188
195,CA,"San Bernardino","Cronese deposits",occurrence,35.129,-115.995,"chrysotile, amphibole asbestos",serpentine,"dolomitic limestone",ofr20111188
