ref_id,short_ref,reference,onlink,source
102,"Gross and others (1967)","Gross, E.B., Chesterman, C.W., Dunning, Gail, and Cooper, J.F., 1967, Mineralogy of the Kalkar quarry, Santa Cruz, California, in Short contributions to California geology: California Division of Mines and Geology Special Report 92, p. 3-10.",,ofr20111188
103,"Hadley (1945)","Hadley, J.B., 1945, Iron-ore deposits in the eastern part of the Eagle Mountains, Riverside County, California: California Division of Mines Bulletin 129, Part A, p. 1-24.",,ofr20111188
104,"Hall and MacKevett (1962)","Hall, W.E., and MacKevett, E.M., Jr., 1962, Geology and ore deposits of the Darwin quadrangle, Inyo County, California: U.S. Geological Survey Professional Paper 368, 87 p., 10 plates.","http://pubs.er.usgs.gov/publication/pp368",ofr20111188
105,"Harder (1912)","Harder, E.C., 1912, Iron-ore deposits of the Eagle Mountains, California: U.S. Geological Survey Bulletin 503, 81 p., 13 plates.","http://pubs.er.usgs.gov/publication/b503",ofr20111188
106,"Hart (1966)","Hart, E.W., 1966, Mines and mineral resources of Monterey County, California: California Division of Mines and Geology County Report 5, 142 p., 2 plates.",,ofr20111188
107,"Huttl (1962)","Huttl, John, 1962, Jefferson Lake--California's premier asbestos: Engineering and Mining Journal, v. 163, no. 10, p. 84-89.",,ofr20111188
108,"James (1971)","James, O.B., 1971, Origin and emplacement of ultramafic rocks of the Emigrant Gap area, California: Journal of Petrology, v. 12, part 3, p. 523-560.",,ofr20111188
109,"Jones (1988)","Jones, Jeanine, 1988, Asbestos in the western San Joaquin Valley: California Geology, v. 41, no. 7 [July, 1988], p. 160-164.",,ofr20111188
110,"Keskinen (1981)","Keskinen, Mary, 1981, Petrochemical investigation of the Shadow Lake piemontite zone, eastern Sierra Nevada, California: American Journal of Science, v. 281, no. 7, p. 896-921.",,ofr20111188
111,"Key (1966)","Key, W.W., 1966, Use of mineral fillers, granules, and roofing rock in California asphalt-consuming industries: U.S. Bureau of Mines Information Circular 8300, 56 p.",,ofr20111188
112,"Laizure (1926)","Laizure, C.M., 1926, San Benito County: California State Mining Bureau, Report XXII of the State Mineralogist, v. 22, no. 2, p. 223-224.",,ofr20111188
113,"Laizure (1929)","Laizure, C.M., 1929, Fresno County: California Division of Mines and Mining, Report XXV of the State Mineralogist, v. 25, no. 3, p. 301-365.",,ofr20111188
114,"Laudermilk and Woodford (1930)","Laudermilk, J.D., and Woodford, A.O., 1930, Soda-rich anthophyllite asbestos from Trinity County, California: American Mineralogist, v. 15, no. 7, p. 259-262.","http://www.minsocam.org/ammin/AM15/AM15_259.pdf",ofr20111188
115,"Laurs and others (1997)","Laurs, B.M., Rohtert, W.R., and Gray, Michael, 1997, Benitoite from the New Idria District, San Benito County, California: Gems & Gemology, v. 33, no. 3, p. 166-187.",,ofr20111188
116,"Leney and Loeb (1972)","Leney, G.W., and Loeb, E.E., 1972, The geology and mining operations at Pacific Asbestos Corporation: Asbestos, v. 54, no. 4, p. 4-13.",,ofr20111188
117,"Leo (1967)","Leo, G.W., 1967, The plutonic and metamorphic rocks of the Ben Lomond Mountain area, Santa Cruz County, California, in Short contributions to California geology: California Division of Mines and Geology Special Report 91, p. 27-43.",,ofr20111188
118,"Linne and others (1983)","Linne, J.M., Stebbins, S.A., and Graham, D.E., 1983, Summary report--Mineral investigation of the Bucks Lake and Chips Creek Rare II areas (nos. 5168 and 5099), Plumas and Butte Counties, California: U.S. Bureau of Mines Mine Land Assessment Open-File Report MLA 55-83, 22 p.",,ofr20111188
119,"Logan (1926)","Logan, C.A., 1926, Trinity County: California State Mining Bureau Report XXII of the State Mineralogist, v. 22, no. 1, p. 1-67.",,ofr20111188
120,"Logan (1927)","Logan, C.A., 1927, Placer County: California State Mining Bureau Report XXIII of the State Mineralogist, v. 23, no. 3, p. 235-286.",,ofr20111188
121,"Logan (1929)","Logan, C.A., 1929, Sacramento Field Division, Sierra County: California Division of Mines and Mining Report XXV of the State Mineralogist, v. 25, no. 2, p. 154-155.",,ofr20111188
122,"Logan (1938)","Logan, C.A., 1938, Mineral resources of El Dorado County: California Journal of Mines and Geology, v. 34, no. 3, p. 206-280.",,ofr20111188
123,"Logan (1941)","Logan, C.A., 1941, Mineral resources of Nevada County: California Journal of Mines and Geology, v. 37, no. 3, p. 374-408.",,ofr20111188
124,"Logan (1943)","Logan, C.A., 1943, Current mining activity in Plumas County: California Journal of Mines and Geology, v. 39, no. 1, p. 85-87.",,ofr20111188
125,"Logan (1949)","Logan, C.A., 1949, Mines and mineral resources of Tuolumne County, California: California Journal of Mines and Geology, v. 45, no. 1, p. 47-83.",,ofr20111188
126,"Logan (1950)","Logan, C.A., 1950, Mines and mineral resources of Madera County, California: California Journal of Mines and Geology, v. 46, no. 4, p. 445-482.",,ofr20111188
127,"Logan and others (1951)","Logan, C.A., Braun, L.T., and Vernon, J.W., 1951, Mines and mineral resources of Fresno County, California: California Journal of Mines and Geology, v. 47, no. 3, p. 485-552.",,ofr20111188
128,"Logan and Franke (1936)","Logan, C.A., and Franke, Herbert, 1936, Mines and mineral resources of Calaveras County: California Journal of Mines and Geology, v. 32, no. 3, p. 226-364.",,ofr20111188
129,"Louderback (1909)","Louderback, G.D., 1909, Benitoite, its paragenesis and mode of occurrence: Berkeley, Calif., University of California Publications, Bulletin of the Department of Geology, v. 5, no. 23, p. 331-380.",,ofr20111188
130,"Lydon and O'Brien (1974)","Lydon, P.A., and O'Brien, J.C., 1974, Mines and mineral resources of Shasta County, California: California Division of Mines and Geology County Report 6, 154 p., 2 plates.",,ofr20111188
