Value,2005,2006,2007,2008,2009
IodineConsumption,0.83,0.62,0.63,0.69,0.53
IodineProduction,--,--,--,--,--
IodineExports,2.66,1.58,1.06,0.95,1.16
IodineImports,6.25,5.64,6.06,6.30,5.19
Iodine1st,Chile,Chile,Chile,Chile,Chile
Iodine2nd,Japan,Japan,Japan,Japan,Japan
Iodine3rd,France,France,France,France,India
IronConsumption,182036,173724,169138,175955,81413
IronProduction,176000,169000,166000,173000,80800
IronExports,150,106,108,323,152
IronImports,6186,4830,3246,3278,765
Iron1st,Canada,Brazil,Brazil,Brazil,Canada
Iron2nd,Brazil,Canada,Canada,Canada,Chile
Iron3rd,Chile,Trinidad&Tobago,Chile,Chile,Brazil
LeadConsumption,131,144,133,119,70
LeadProduction,429,444,410,406,369
LeadExports,298,300,277,287,299
LeadImports,--,--,--,--,--
Lead1st,NA,NA,NA,NA,NA
Lead2nd,NA,NA,NA,NA,NA
Lead3rd,NA,NA,NA,NA,NA
LithiumConsumption,2.50,2.50,2.40,2.30,1.30
LithiumProduction,W,W,W,W,W
LithiumExports,1.72,1.50,1.44,1.45,0.92
LithiumImports,3.58,3.26,3.14,3.16,1.89
Lithium1st,Chile,Chile,Chile,Chile,Argentina
Lithium2nd,Argentina,Argentina,Argentina,Argentina,Chile
MagnesiumcompoundsConsumption,--,--,--,--,--
MagnesiumcompoundsProduction,W,W,W,W,W
MagnesiumcompoundsExports,21.80,9.02,11.70,21.00,10.50
MagnesiumcompoundsImports,15.00,15.20,9.00,15.80,6.27
Magnesiumcompounds1st,China,China,China,China,China
Magnesiumcompounds2nd,Japan,Israel,Israel,Israel,Israel
Magnesiumcompounds3rd,Israel,Japan,Japan,Japan,Japan
ManganeseConsumption,368,365,351,464,422
ManganeseProduction,--,--,--,--,--
ManganeseExports,13.50,2.24,29.00,48.30,15.30
ManganeseImports,656,572,602,571,269
Manganese1st,Gabon,Gabon,Gabon,Gabon,Gabon
Manganese2nd,SouthAfrica,SouthAfrica,SouthAfrica,Australia,Ghana
Manganese3rd,Australia,Colombia,Australia,Brazil,Australia
MercuryConsumption,--,--,--,--,--
MercuryProduction,--,--,--,--,--
MercuryExports,0.32,0.39,0.08,0.73,0.75
MercuryImports,0.21,0.09,0.07,0.16,0.21
Mercury1st,Peru,Russia,Peru,Peru,Peru
Mercury2nd,Chile,Peru,Canada,Germany,Chile
Mercury3rd,Israel,Germany,Germany,Canada,Germany
MicaConsumption,226.00,271.28,229.99,199.70,139.25
MicaProduction,198.00,233.00,196.00,182.00,127.00
MicaExports,10.80,8.62,9.01,11.10,9.15
MicaImports,38.80,46.90,43.00,28.80,21.40
Mica1st,NA,NA,NA,NA,NA
Mica2nd,NA,NA,NA,NA,NA
Mica3rd,NA,NA,NA,NA,NA
MolybdenumConsumption,23.50,33.50,35.60,33.40,25.72
MolybdenumProduction,58.00,59.80,57.00,55.90,47.80
MolybdenumExports,46.40,37.20,33.80,32.70,29.60
MolybdenumImports,11.90,10.90,12.40,10.20,7.52
Molybdenum1st,Chile,Chile,Mexico,Mexico,Canada
Molybdenum2nd,Mexico,Mexico,Canada,Canada,Chile
Molybdenum3rd,Canada,Canada,Chile,Chile,Mexico
NiobiumConsumption,--,--,--,--,--
NiobiumProduction,--,--,--,--,--
NiobiumExports,0.043,0.069,0.163,0.063,0.017
NiobiumImports,0.010,0.005,0.001,0.016,0.005
Niobium1st,UnitedKingdom,Brazil,China,China,China
Niobium2nd,China,China,,,Netherlands
Niobium3rd,India,Singapore,,,
PerliteConsumption,770,731,717,674,424
PerliteProduction,606,516,516,524,304
PerliteExports,32,30,28,37,33
PerliteImports,196,245,229,187,153
Importsources:,,,,,
Perlite1st,Greece,Greece,Greece,Greece,Greece
Perlite2nd,NA,NA,NA,NA,NA
Perlite3rd,NA,NA,NA,NA,NA
PhosphaterockConsumption,37830,32620,33770,31650,27500
PhosphaterockProduction,35200,30200,31100,28900,25500
PhosphaterockExports,--,--,--,--,--
PhosphaterockImports,2630,2420,2670,2750,2000
Phosphaterock1st,Morocco,Morocco,Morocco,Morocco,Morocco
Phosphaterock2nd,NA,NA,NA,NA,NA
Phosphaterock3rd,NA,NA,NA,NA,NA
PotashConsumption,10000,9000,10000,11000,4600
PotashProduction,2500,2400,2600,2500,1700
PotashExports,569,809,510,694,705
PotashImports,8110,7380,8190,9560,3670
Potash1st,Canada,Canada,Canada,Canada,Canada
Potash2nd,Belarus,Belarus,Belarus,Russia,Russia
Potash3rd,Russia,Russia,Chile,Belarus,Germany
SilverConsumption,--,--,--,--,--
SilverProduction,1.23,1.16,1.28,1.25,1.25
SilverExports,-,-,0.02,0.13,0.12
SilverImports,-,-,-,-,-
Silver1st,Canada,NA,Israel,Israel,Israel
Silver2nd,NA,NA,Guatemala,NA,NA
Silver3rd,NA,NA,NA,NA,NA
TantalumConsumption,0.21,0.07,0.14,0.26,0.02
TantalumProduction,--,--,--,--,--
TantalumExports,0.17,0.25,0.15,0.10,0.09
TantalumImports,0.38,0.32,0.29,0.36,0.11
Tantalum1st,Australia,Australia,Australia,Australia,Mozambique
Tantalum2nd,Canada,Canada,Canada,Canada,Canada
Tantalum3rd,China,Nigeria,Mozambique,Mozambique,Australia
Titanium,2005,2006,2007,2008,2009
TitaniumConsumption,1720,1870,1950,1440,1360
TitaniumProduction,300,300,300,200,200
TitaniumExports,20.90,32.80,9.73,14.90,14.80
TitaniumImports,1190,1230,1460,1380,943
Ilmenite1st,Australia,Australia,Australia,Australia,Mozambique
Ilmenite2nd,Other,Other,Other,Mozambique,Australia
Ilmenite3rd,NA,NA,NA,SouthAfrica,Other
Titaniferousslag1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Titaniferousslag2nd,Canada,Canada,Canada,Canada,Canada
Titaniferousslag3rd,Other,Other,Other,NA,NA
Rutilenatural1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,Australia
Rutilenatural2nd,Australia,Australia,Australia,Australia,SouthAfrica
Rutilenatural3rd,Ukraine,SierraLeone,SierraLeone,Canada,Other
Rutilesynthetic1st,Australia,Australia,Australia,Australia,Australia
Rutilesynthetic2nd,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
Rutilesynthetic3rd,Other,Other,Other,Other,Other
TungstenConsumption,W,W,W,W,W
TungstenProduction,--,--,W,W,W
TungstenExports,0.05,0.13,0.11,0.50,0.04
TungstenImports,2.08,2.29,3.88,3.99,3.59
Tungsten1st,Portugal,Bolivia,Bolivia,Bolivia,Bolivia
Tungsten2nd,Bolivia,Portugal,Canada,Canada,Canada
Tungsten3rd,Canada,Canada,Portugal,Portugal,Portugal
ZincConsumption,W,W,W,W,W
ZincProduction,748,727,803,778,736
ZincExports,786,825,816,725,785
ZincImports,156.00,383.00,271.00,63.20,74.20
Importsources:,,,,,
Zinc1st,Peru,Peru,Peru,Peru,Peru
Zinc2nd,Australia,Australia,Mexico,Irland,Ireland
Zinc3rd,Irland,Irland,Irland,Mexico,Mexico
